acctno,monthly_income,job_time_months,res_time_months,job_employment_status,job_title,job_company,job_verified,industry,term,fundedAmount,monthly_payment,make,model,year,loanStatus
L022427,13000.0,48.0,24.0,,OWNER,F&amp;A CONSTRUCTION,False,Construction,52.0,14938.0,522.89,Honda,CR-V,2012.0,ACTIVE
L022437,3360.0,15.0,12.0,Full Time,FINISHER,MASTER MOLD LLC,False,Manufacturing,60.0,21905.2,673.92,Toyota,Highlander,2017.0,ACTIVE
L022440,3400.0,9.0,12.0,Full Time,MACHINE OPERATOR,MASTERMOLD LLC,False,Manufacturing,60.0,18954.6,675.9,Chevrolet,Malibu Limited,2016.0,WRITE-OFF
L022462,3300.0,4.0,24.0,,,SURESTAFF Corporate Office,False,Professional Services,57.0,13931.2,499.96,Ford,Explorer,2012.0,ACTIVE
L022528,6200.0,108.0,72.0,Full Time,FOOD SALES,SELF EMPLOYED,False,Retail,54.0,16619.0,578.02,Ford,Explorer,2013.0,ACTIVE
L022535,3200.0,36.0,36.0,Full Time,FOOD PREP,EL GORDO MEXICAN RESTAURANT,False,Hospitality,51.0,12999.1,533.91,Jeep,Grand Cherokee,2012.0,ACTIVE
L022587,2800.0,4.0,12.0,,,Fairplay Foods,False,Retail,54.0,17758.3,624.66,Ford,Explorer,2017.0,ACTIVE
L022738,4000.0,168.0,108.0,Full Time,GRAINER,FALL RIVER FOUNDRY,False,Manufacturing,51.0,14263.3,558.35,Nissan,Altima,2016.0,ACTIVE
L022748,4500.0,25.0,24.0,,,PETELAND DAIRY LLC,False,Agriculture,51.0,12769.3,495.49,Dodge,Journey,2014.0,ACTIVE
L022754,3000.0,9.0,24.0,,,Brickstead Dairy Farm,False,Agriculture,57.0,15155.0,545.63,Honda,Civic,2015.0,WRITE-OFF
L022771,2880.0,2.0,12.0,Full Time,PACKER,ELITE STAFFING INC,False,Other Services,54.0,15967.4,614.58,Volkswagen,Passat,2013.0,WRITE-OFF
L022772,3331.0,3.0,12.0,,,"Labor Personnel, LLC",False,Professional Services,53.0,12209.3,473.62,Kia,Forte,2014.0,WRITE-OFF
L022774,2560.0,8.0,12.0,Full Time,LABOR,ARM STAFFING INC,False,Other Services,52.0,16378.6,577.79,TOYOTA,COROLLA,2016.0,WRITE-OFF
L023122,2800.0,1.0,12.0,Full Time,SISTEMAS,ELITE STAFFING INC.,False,Other Services,45.0,13027.2,576.72,Ford,Escape,2014.0,ACTIVE
L023123,3600.0,18.0,,,Cook,Los Burritos Tapatios Restaurant,False,Hospitality,50.0,10416.0,377.58,Ford,Fusion,2015.0,WRITE-OFF
L023124,3200.0,3.0,96.0,,,EuroTek Staffing,False,Professional Services,54.0,15248.5,478.84,Buick,LaCrosse,2016.0,ACTIVE
L023125,3500.0,8.0,36.0,,,REX SERVICES INC,False,Other Services,54.0,16641.4,551.65,Jeep,Grand Cherokee,2017.0,ACTIVE
L023126,3000.0,48.0,120.0,Full Time,LABOR,MULTI TEMP,False,Other Services,48.0,13278.6,470.99,Chevrolet,Traverse,2015.0,CLOSED
L023127,2160.0,1.0,,,Labor,Staffing Inc,False,Other Services,39.0,10832.6,480.97,Nissan,Rogue,2013.0,ACTIVE
L023128,3000.0,27.0,12.0,,,Kurisa Seal Coating,False,Construction,48.0,12266.7,450.34,Jeep,Cherokee,2015.0,ACTIVE
L023129,4048.0,9.0,24.0,Full Time,OPERATOR,THE XCEL GROUP,False,Other Services,53.0,15623.2,599.12,Toyota,Corolla,2016.0,ACTIVE
L023131,3200.0,36.0,36.0,Full Time,DRIVER,RIVERA TAXI,False,Transport,54.0,14486.0,476.06,Lexus,CT 200h,2012.0,ACTIVE
L023132,3200.0,3.0,240.0,,,T D M,False,Other Services,48.0,11609.1,426.97,Ford,Fusion,2014.0,WRITE-OFF
L023134,4800.0,25.0,24.0,Full Time,TELEMARKETING,ALEX COMPANY CHICAGO,False,Other Services,57.0,14817.8,543.81,Kia,Forte,2018.0,WRITE-OFF
L023135,2023.0,13.0,24.0,Full Time,LAUNDRY,TEXAS MEDICAL CENTER,False,Healthcare,30.0,5392.5,366.73,Kia,Forte,2014.0,WRITE-OFF
L023136,2000.0,108.0,36.0,,,TOWER DRYWALL,False,Construction,54.0,17766.0,552.71,Chevrolet,Avalanche,2010.0,WRITE-OFF
L023146,2250.0,36.0,96.0,Full Time,CARE GIVER,ILL DEPARTMENT OF HUMAN SERVIC,False,Government,42.0,9287.82,391.29,Chevrolet,Malibu,2011.0,CLOSED
L023147,3600.0,6.0,0.0,,,"Summit Staffing, Inc.",False,Professional Services,45.0,10899.0,469.17,Chevrolet,Trax,2017.0,ACTIVE
L023149,3120.0,18.0,144.0,Full Time,CSR,GERBER COLLISION,False,Other Services,60.0,15373.8,552.74,Volkswagen,Passat,2016.0,ACTIVE
L023150,4500.0,24.0,24.0,Full Time,CAREGIVER,SELF EMPLOYED,False,Healthcare,48.0,12233.2,434.14,GMC,Terrain,2013.0,WRITE-OFF
L023152,2600.0,29.0,96.0,Full Time,,ZAMORA BULDING MAINTENANCE,False,Other Services,48.0,11037.1,516.24,Dodge,Charger,2016.0,WRITE-OFF
L023153,3000.0,5.0,24.0,Full Time,,PIONEER BALLOON,False,Entertainment,54.0,12938.1,437.67,Ford,Fusion,2014.0,ACTIVE
L023165,4650.0,12.0,24.0,Full Time,HEAD TECH,STAR DIE MOLDING,False,Manufacturing,50.0,13471.3,470.87,Ford,Explorer,2015.0,ACTIVE
L023166,3760.0,36.0,36.0,Full Time,MACHINE OPERATOR,ELITE STAFFING,False,Manufacturing,39.0,12383.4,564.5,Ford,Explorer,2013.0,ACTIVE
L023167,5500.0,24.0,24.0,Self-Employed,Management,SELF EMPLOYED VALET SERVI,False,Other Services,48.0,11435.0,474.88,Mazda,CX-9,2015.0,WRITE-OFF
L023168,2635.0,6.0,180.0,Full Time,technician,TLC management,False,Other Services,54.0,16318.7,561.23,Chevrolet,Trax,2018.0,WRITE-OFF
L023169,4500.0,20.0,24.0,Full Time,,GREATOAKS TREE SERVICE LLC,False,Other Services,51.0,11558.3,495.59,Hyundai,Sonata,2013.0,ACTIVE
L023170,3700.0,6.0,24.0,Full Time,LABORER,GHP HOSPITALY GROUP LLC,False,Hospitality,57.0,13696.7,600.61,Toyota,Corolla,2017.0,ACTIVE
L023171,2684.0,3.0,24.0,Full Time,LABORER,MISTICA FOODS,False,Manufacturing,57.0,13511.1,518.26,Nissan,Sentra,2018.0,WRITE-OFF
L023172,2680.0,7.0,36.0,,,ELITE STAFFING,False,Other Services,60.0,8291.05,464.33,Chrysler,300,2016.0,WRITE-OFF
L023173,3600.0,3.0,24.0,Full Time,OPERATOR,LABOR PERSONNEL LLC,False,Other Services,57.0,15430.6,571.72,Ford,Fusion,2015.0,ACTIVE
L023175,1600.0,2.0,12.0,,,Texas Roadhouse,False,Hospitality,48.0,10491.2,375.14,Ford,Focus,2014.0,ACTIVE
L023176,2600.0,1.0,36.0,Full Time,,HYR-UP SOLUTIONS INC,False,Other Services,48.0,11726.3,471.68,Hyundai,Elantra,2013.0,ACTIVE
L023177,3200.0,156.0,96.0,,cook,JJ West Loop Inc,False,Hospitality,60.0,16035.6,549.2,Chrysler,300,2013.0,ACTIVE
L023178,3500.0,24.0,0.0,Full Time,Director of Rectreat,Lake Carrol association,False,Hospitality,60.0,17786.1,574.59,INFINITI,QX50,2016.0,ACTIVE
L023180,2700.0,1.0,24.0,Full Time,CONSTRUCTION,WEBBER LLC,False,Construction,42.0,12004.2,474.14,Toyota,Corolla,2016.0,REPOED
L023181,3440.0,108.0,72.0,Full Time,CONSTRUCTION,SUMMIT RESOURCES,False,Construction,57.0,15911.5,498.86,Acura,TSX,2014.0,ACTIVE
L023182,3400.0,1.0,24.0,Full Time,KITCHEN STAFF,QDOBA MEXICAN EATS,False,Hospitality,51.0,14531.1,569.21,Hyundai,Elantra,2017.0,CLOSED
L023184,3640.0,3.0,180.0,Full Time,carpenter,TURNER CONSTRUCTION,False,Construction,54.0,15929.1,544.7,Buick,Enclave,2015.0,ACTIVE
L023186,3040.0,48.0,36.0,Full Time,MGR,TACO BELL,False,Hospitality,48.0,12527.5,434.1,Audi,A4,2012.0,ACTIVE
L023193,5000.0,1.0,24.0,Full Time,OSI INDUSTRIES LLC,WORLD RECRUITING STAFFING INC,False,Other Services,48.0,13749.3,547.05,Chevrolet,Equinox,2018.0,WRITE-OFF
L023194,3000.0,12.0,12.0,,Operator,"ASG Staffing, Inc",False,Other Services,45.0,9154.27,456.24,Nissan,Rogue,2017.0,CLOSED
L023198,2944.0,12.0,24.0,Full Time,OTHER,ALL 1 SERVICE INC,False,Other Services,48.0,12491.6,467.57,Nissan,Rogue,2017.0,WRITE-OFF
L023201,2464.0,18.0,,,Packing,Ron's Staffing Services,False,Other Services,50.0,13155.3,452.43,Jeep,Compass,2014.0,ACTIVE
L023202,3200.0,180.0,120.0,,Labor,Trattoria 225,False,Hospitality,54.0,17756.6,532.24,Nissan,Murano,2016.0,ACTIVE
L023203,2240.0,72.0,144.0,,,SAN LUIS RESTAURANT,False,Hospitality,60.0,17586.8,568.19,Dodge,Charger,2016.0,ACTIVE
L023209,2500.0,121.0,300.0,Full Time,PROVIDER,LEGACY HOME HEALTH,False,Healthcare,42.0,11126.6,532.91,Ford,Explorer,2015.0,ACTIVE
L023210,2560.0,15.0,,,,UNIQUE DELIVERY SERVICE,False,Transport,59.0,15685.8,527.2,Kia,Sorento,2014.0,CLOSED
L023211,2200.0,48.0,24.0,,Cleaning,Piccoho Sogno Restaurant,False,Hospitality,51.0,13026.0,503.14,GMC,Terrain,2011.0,WRITE-OFF
L023213,3800.0,120.0,36.0,Full Time,,CUT FRESH LLC,False,Retail,57.0,14245.4,501.64,GMC,Acadia,2013.0,ACTIVE
L023215,3680.0,7.0,24.0,Full Time,MACHINE OPERATOR,MIDWAY STAFFING,False,Manufacturing,51.0,13008.5,519.8,Chevrolet,Equinox,2013.0,ACTIVE
L023216,1800.0,12.0,12.0,Full Time,HOUSE KEEPING,HAMPTON INN SUITES,False,Hospitality,51.0,13770.3,541.71,Nissan,Rogue Select,2015.0,ACTIVE
L023217,3400.0,288.0,0.0,Full Time,COOK,EL CIPLIN RESTAURANT GUATEMALT,False,Hospitality,60.0,20623.0,690.89,Jeep,Grand Cherokee,2015.0,ACTIVE
L023218,2400.0,6.0,12.0,Full Time,PACKING,SPI STAFFING,False,Other Services,54.0,16547.2,627.07,Ford,Explorer,2015.0,WRITE-OFF
L023219,3000.0,66.0,48.0,Full Time,MACHINE OPERATOR,ASSIST INC,False,Manufacturing,54.0,16510.9,581.6,Nissan,Frontier,2012.0,ACTIVE
L023220,3800.0,24.0,12.0,Full Time,INSTALLER,DOUGLAS AND COMPANY,False,Construction,60.0,17514.6,623.31,Ford,Escape,2013.0,REPOED
L023221,3200.0,24.0,24.0,Full Time,DRIVER,TIMKEN,False,Transport,54.0,15720.8,611.69,Chevrolet,Tahoe,2013.0,WRITE-OFF
L023222,3000.0,24.0,24.0,Full Time,CLERK,ANIMAL EMRG,False,Healthcare,39.0,7013.0,384.79,Chrysler,200,2015.0,ACTIVE
L023224,2600.0,48.0,0.0,Full Time,,LA FLORENCIA BAKERY,False,Hospitality,42.0,11965.0,466.76,Jeep,Cherokee,2015.0,ACTIVE
L023225,2000.0,36.0,0.0,Full Time,GENERAL JOB,"WAL-MART ASSOCIATES, INC",False,Retail,54.0,14667.4,499.55,Hyundai,Sonata,2015.0,WRITE-OFF
L023227,6000.0,84.0,84.0,Full Time,,ABF FREIGHT,False,Transport,48.0,12997.1,497.99,BMW,X5,2013.0,ACTIVE
L023233,2880.0,4.0,12.0,Full Time,,ACCURATE PERSONELL LLC,False,Professional Services,52.0,15542.0,633.71,Toyota,Camry,2016.0,WRITE-OFF
L023235,3000.0,6.0,0.0,Full Time,,LEVY RESTAURANT,False,Hospitality,57.0,18420.9,674.9,GMC,Acadia,2015.0,ACTIVE
L023236,2000.0,2.0,24.0,,,Heartland,False,Other Services,48.0,10276.2,346.55,GMC,Acadia,2012.0,CLOSED
L023237,2200.0,96.0,180.0,,,Falcos Pizza,False,Hospitality,54.0,11188.0,425.06,Dodge,Grand Caravan,2013.0,ACTIVE
L023238,3000.0,8.0,12.0,Full Time,,SURGE STAFFING,False,Other Services,51.0,10487.2,459.03,Buick,LaCrosse,2010.0,WRITE-OFF
L023239,2800.0,6.0,0.0,Full Time,,FOR ACCURATE PERSONNELL,False,Other Services,54.0,14271.3,483.53,KIA,SPORTAGE,2016.0,WRITE-OFF
L023240,2800.0,1.0,0.0,Full Time,,SERVICE FIRST,False,Other Services,57.0,15868.5,574.57,Hyundai,Elantra,2019.0,ACTIVE
L023241,2000.0,5.0,12.0,Full Time,,MILLER MANAGEMENT,False,Real Estate,50.0,13529.3,513.1,Chevrolet,Sonic,2017.0,CLOSED
L023243,3880.0,3.0,0.0,Full Time,,WINHERE BRAKE PARTS,False,Manufacturing,57.0,17147.3,623.25,Honda,Accord,2015.0,ACTIVE
L023244,3000.0,24.0,12.0,Full Time,,LG CLEANING SERVICE LLC,False,Other Services,51.0,14016.4,546.57,Chevrolet,Malibu,2016.0,WRITE-OFF
L023248,4000.0,37.0,0.0,Full Time,LABOR,FAST CONSTRUCTION,False,Construction,54.0,13353.8,496.22,Honda,Odyssey,2012.0,ACTIVE
L023249,2600.0,36.0,36.0,Full Time,,CORPORATE OFFICE OF INTEGRITY,False,Other Services,48.0,14036.1,518.61,Ford,Fusion,2012.0,CLOSED
L023250,2200.0,1.0,0.0,Full Time,COOK,BLANCO COSINA,False,Hospitality,57.0,12993.5,485.03,Volkswagen,Jetta,2013.0,WRITE-OFF
L023251,2500.0,18.0,264.0,Full Time,order selector,meijer,False,Retail,42.0,8435.0,362.58,Hyundai,Sonata,2017.0,ACTIVE
L023252,2200.0,18.0,0.0,Full Time,assistant manager/ev,galveston fishing pier,False,Hospitality,54.0,14535.4,507.3,Chevrolet,Malibu,2019.0,CLOSED
L023253,2800.0,2.0,24.0,Full Time,,SERVICE FIRST STAFFING,False,Other Services,57.0,15021.2,582.32,Acura,MDX,2012.0,ACTIVE
L023254,3000.0,4.0,24.0,Full Time,,AROD TEX MEX AND AMERICAN GRIL,False,Hospitality,57.0,15046.2,585.77,Kia,Optima,2016.0,WRITE-OFF
L023256,3200.0,2.0,12.0,Full Time,,TRIENDA HOLDING LLC,False,Other Services,48.0,12955.8,573.24,Acura,RDX,2014.0,ACTIVE
L023257,4766.0,15.0,0.0,Full Time,Packer,Stand Fast Packaging,False,Manufacturing,54.0,15712.2,549.81,Chevrolet,Trax,2015.0,ACTIVE
L023259,8072.0,3.0,12.0,Full Time,TRAVEL RADIOLOGIC TECHNOLO,MAXIM HEALTHCARE STAFFING,False,Healthcare,53.0,10797.6,414.97,Chevrolet,Camaro,2012.0,ACTIVE
L023260,4400.0,3.0,36.0,Full Time,ASSISTANT,HOUSTON CENTER REALSTATE,False,Real Estate,42.0,12966.0,580.04,Hyundai,Elantra,2019.0,WRITE-OFF
L023261,3040.0,1.0,0.0,Full Time,COOK,RESTAURANT JALISCO BURRITO,False,Hospitality,48.0,12310.2,449.55,Volkswagen,Passat,2014.0,WRITE-OFF
L023262,2468.0,15.0,0.0,Full Time,GENERAL LABOR,COSMOLITAN ROYAL LAUNDRY,False,Other Services,48.0,10191.1,368.78,Mazda,Mazda3,2014.0,WRITE-OFF
L023263,2860.0,18.0,24.0,Full Time,FORKLIFT DRIVER,AGSCO CORP,False,Wholesale,45.0,8600.69,403.53,Nissan,Altima,2011.0,ACTIVE
L023265,2560.0,1.0,60.0,,,Piccolo Sogno,False,Hospitality,57.0,14157.9,502.38,GMC,Terrain,2014.0,WRITE-OFF
L023267,2700.0,9.0,12.0,,,Labor Personnel LLC,False,Professional Services,48.0,13645.0,496.82,Kia,Sorento,2016.0,WRITE-OFF
L023268,3200.0,36.0,144.0,Full Time,Manager,Wendys,False,Hospitality,42.0,14393.3,558.88,Hyundai,Elantra,2014.0,ACTIVE
L023269,5000.0,72.0,36.0,Full Time,DRIVE,AMAZON,False,Transport,54.0,12976.0,486.67,Ford,Explorer,2015.0,WRITE-OFF
L023270,2000.0,5.0,0.0,Full Time,ASSEMBLY,PLASTIC PARTS INTERNATIONAL,False,Manufacturing,48.0,11804.3,415.64,Chevrolet,Sonic,2017.0,ACTIVE
L023271,4800.0,60.0,24.0,Self-Employed,Construction,A Chicago Dryweell,False,Construction,57.0,13641.0,511.07,Ford,Explorer,2012.0,WRITE-OFF
L023277,3200.0,2.0,0.0,Full Time,LABORER,LABOR PERSONNEL LLC,False,Construction,53.0,13136.1,490.65,Hyundai,Sonata,2017.0,WRITE-OFF
L023278,3000.0,2.0,0.0,Full Time,,SERVICE FIRST STAFFING,False,Other Services,51.0,12886.3,527.56,Jeep,Patriot,2014.0,WRITE-OFF
L023279,4000.0,15.0,24.0,Full Time,,THE XCEL GROUP,False,Other Services,57.0,15292.3,569.67,Jeep,Grand Cherokee,2011.0,ACTIVE
L023280,2000.0,1.0,12.0,Full Time,LABORER,ACCURATE PERSONAL LLC,False,Construction,57.0,16108.5,584.3,Ford,Edge,2018.0,ACTIVE
L023281,4056.0,12.0,12.0,Full Time,LABORER,EXCEL HR SERVICES CORP,False,Other Services,51.0,14315.4,562.78,Ford,Edge,2017.0,WRITE-OFF
L023284,4096.0,36.0,156.0,Full Time,DSP,LITTLE CITY FOUNDATION,False,Healthcare,57.0,15158.9,497.97,Ford,Explorer,2015.0,ACTIVE
L023285,3117.0,4.0,36.0,Full Time,FORKLIFT,BIMBO,False,Manufacturing,42.0,5399.21,504.98,Mercedes-Benz,M Class,2013.0,WRITE-OFF
L023286,2000.0,24.0,300.0,Full Time,Production,Northlight Color,False,Manufacturing,54.0,19741.3,614.27,Honda,Odyssey,2011.0,WRITE-OFF
L023288,3500.0,5.0,24.0,Full Time,OPERATOR`,MIDWEST CANVAS CORPORATION,False,Manufacturing,57.0,16580.7,608.2,Nissan,Versa,2020.0,ACTIVE
L023289,3000.0,12.0,12.0,Full Time,,GMMP PRESSURE WASHING LLC,False,Other Services,57.0,18182.7,631.67,Dodge,Durango,2014.0,WRITE-OFF
L023290,4000.0,6.0,24.0,Full Time,,GREDE - REEDSBURG,False,Manufacturing,57.0,15463.0,580.39,Jeep,Cherokee,2014.0,ACTIVE
L023291,3200.0,24.0,144.0,,,BANDAS CLEANING SERVICES,False,Other Services,42.0,13300.0,502.66,Ram,1500,2012.0,ACTIVE
L023292,2200.0,5.0,12.0,Full Time,MAINTNANCE,MARIANI ENTERPRISES,False,Other Services,42.0,10613.9,505.59,Ford,Explorer,2013.0,ACTIVE
L023298,2500.0,4.0,24.0,Full Time,LABORER,AMERICAN DIVERSIFIED STAFFING,False,Other Services,54.0,15894.2,556.86,Buick,Enclave,2011.0,WRITE-OFF
L023299,2380.0,2.0,24.0,Full Time,GENERAL LABOR,MIDWAY STAFFING,False,Other Services,54.0,15456.1,541.63,Nissan,Sentra,2017.0,WRITE-OFF
L023300,3500.0,8.0,24.0,Full Time,COOK /PREP,LOS COMALES REST,False,Hospitality,36.0,10213.4,473.6,Chrysler,200,2012.0,ACTIVE
L023301,6500.0,48.0,36.0,Full Time,HEAD CHEF,BANDIT,False,Hospitality,60.0,20341.1,643.96,Chevrolet,Impala,2017.0,ACTIVE
L023303,2500.0,8.0,12.0,,Labor,Midway Staffing,False,Other Services,54.0,13034.9,434.0,Ford,Fusion,2016.0,CLOSED
L023304,5500.0,60.0,120.0,Full Time,SUPERVISO,LA FAMILY REST,False,Hospitality,60.0,19000.0,600.72,Dodge,Charger,2019.0,WRITE-OFF
L023305,2800.0,3.0,12.0,Full Time,,ELITE STAFFING,False,Professional Services,45.0,9145.95,441.57,Chevrolet,Cruze,2011.0,ACTIVE
L023314,2962.0,7.0,120.0,,,Acura,False,Manufacturing,48.0,12855.4,425.63,Chevrolet,Silverado 1500,2010.0,ACTIVE
L023315,2700.0,2.0,,,Labor,Rons' staffing Services,False,Other Services,48.0,11524.4,463.28,Chevrolet,Impala,2014.0,WRITE-OFF
L023316,4500.0,25.0,48.0,Full Time,WELDER,POSTEL,False,Construction,56.0,15853.0,541.95,Kia,Optima,2019.0,CLOSED
L023319,2774.0,2.0,24.0,Full Time,,PEDONE RESTAURANT & CATERING I,False,Hospitality,48.0,1874.1,441.17,Nissan,Rogue Select,2014.0,CLOSED
L023321,2100.0,108.0,144.0,Full Time,PACKING,MOST VALUABLE PERSONNEL,False,Other Services,57.0,16561.5,574.42,Ford,Escape,2017.0,ACTIVE
L023323,3500.0,3.0,24.0,Full Time,OPERATOR,UNIVERSAL WORFORCE LLC,False,Other Services,57.0,14935.3,556.48,Nissan,Rogue,2014.0,CLOSED
L023324,4000.0,11.0,24.0,Full Time,LABORER,MASTERMOLD LLC,False,Manufacturing,57.0,15743.1,569.57,GMC,Terrain,2016.0,ACTIVE
L023326,2400.0,4.0,12.0,Full Time,LABOR,UNITED DELIVERY SERVICE,False,Transport,57.0,12234.5,471.81,Nissan,Xterra,2012.0,WRITE-OFF
L023327,2720.0,5.0,12.0,Full Time,LABOR,SERVICE FIRST STAFFING/DRYLOCK,False,Other Services,48.0,11875.5,469.67,Ford,Fusion,2013.0,CLOSED
L023328,4000.0,48.0,0.0,Full Time,LABOR,XAF CONTRUCTION LLC,False,Construction,57.0,13410.8,514.33,Chrysler,Town & Country,2016.0,ACTIVE
L023329,2400.0,36.0,,,Sanitation,Anthony Marano Co,False,Other Services,51.0,14717.6,541.48,Chevrolet,Silverado 1500,2012.0,WRITE-OFF
L023330,4000.0,7.0,24.0,Full Time,,NISOS MEDITERRANEAN,False,Other Services,51.0,14637.7,600.42,Ford,Escape,2016.0,ACTIVE
L023331,2600.0,3.0,0.0,Full Time,,CLEAR STAFF,False,Other Services,36.0,8983.58,468.49,Kia,Optima,2015.0,ACTIVE
L023332,5000.0,43.0,0.0,Full Time,,ALTA GENETICS USA TECHNICIAN S,False,Other Services,54.0,17132.6,573.57,Chevrolet,Equinox,2017.0,ACTIVE
L023333,3200.0,60.0,12.0,Full Time,,LOS RANCHEROS,False,Hospitality,57.0,16536.9,606.89,Honda,Accord,2018.0,CLOSED
L023335,6400.0,60.0,240.0,Full Time,DRIVER,AC DELIVERIES,False,Transport,60.0,20464.5,595.72,Toyota,Corolla,2017.0,ACTIVE
L023337,1600.0,3.0,36.0,Full Time,,EVOLUTION STAFFING,False,Other Services,48.0,10670.3,395.94,Nissan,Altima,2016.0,WRITE-OFF
L023338,2500.0,11.0,144.0,Full Time,KITCHEN STAFF,THE PATIO BBQ,False,Hospitality,50.0,13471.3,489.05,Ford,Edge,2013.0,ACTIVE
L023340,3100.0,5.0,24.0,Full Time,CLEANNING / KITCHEN STAFF,RACQUET CLUB OF CHICAGO,False,Hospitality,45.0,9925.5,479.26,Hyundai,Elantra,2014.0,WRITE-OFF
L023342,3000.0,96.0,36.0,,Labor,Kleen & kleer,False,Other Services,54.0,12979.5,440.83,Jeep,Cherokee,2018.0,ACTIVE
L023343,3100.0,3.0,36.0,Full Time,MEDICAL,METHODIST REHABILITATION HOSPI,False,Healthcare,48.0,2682.59,329.56,Nissan,Maxima,2010.0,WRITE-OFF
L023344,2400.0,7.0,12.0,,,Cavalual Restaurant,False,Hospitality,57.0,14587.9,504.91,Chevrolet,Trax,2015.0,ACTIVE
L023345,3200.0,8.0,,,labor,Absterge Building Services Inc,False,Other Services,57.0,13916.5,485.66,Chevrolet,Malibu,2016.0,WRITE-OFF
L023346,6000.0,204.0,36.0,,CONSTRUCTION,SELF EMPLOYED,False,Construction,42.0,11160.0,430.85,Dodge,Charger,2015.0,ACTIVE
L023350,3120.0,28.0,24.0,Full Time,QUALITY ASSURANCE,CAPSONIC GROUP LLC,False,Manufacturing,54.0,15502.3,552.87,Kia,Sportage,2016.0,CLOSED
L023352,3200.0,5.0,0.0,Full Time,LABORER,SPI STAFFING,False,Other Services,48.0,9926.16,474.56,Volkswagen,Jetta,2012.0,WRITE-OFF
L023353,2900.0,1.0,24.0,Full Time,LABORER,JEL SERT CO,False,Construction,39.0,8935.35,451.64,Honda,Accord,2008.0,WRITE-OFF
L023354,2500.0,5.0,24.0,Full Time,LABORER,RUKEL MANAGEMENT LLC,False,Construction,39.0,8815.4,451.64,Ford,Escape,2016.0,WRITE-OFF
L023355,3230.0,14.0,0.0,Full Time,LABORER,LABOR NETWORK,False,Construction,57.0,17171.4,573.8,GMC,Acadia,2016.0,ACTIVE
L023356,3120.0,18.0,192.0,,,GEREMARIE CORP,False,Other Services,36.0,6450.0,305.8,Chevrolet,Traverse,2010.0,CLOSED
